,Number of vertices,Average radius,Average radius difference,Fitted radius,Prior radius,RMSE,Fitting error mean,Fitting error std,Radial deviation (total),Ideal curvature,Mean curvature avg,Mean curvature std
HorizontalSphere_R15.000001.obj,3993.0,80.04580112143648,0.019248878563516314,80.06505,80.06505,0.11662380580283888,0.08543345360268921,0.07938663039489346,1.027705816674569,0.012489844195438584,0.0006390562975643749,0.013166043389384473
HorizontalSphere_L20.000001.obj,3597.0,80.04942554896927,0.015624451030731734,80.06505,80.06505,0.19989815114250414,0.14444560200919251,0.13818371427340267,3.403295521836924,0.012489844195438584,0.0009127024326258913,0.027633697689939334
HorizontalSphere_L5.000001.obj,3300.0,80.0474910302069,0.017558969793100232,80.06505,80.06505,0.16302407793583235,0.11372006401404647,0.11681008957906634,1.3400634265915699,0.012489844195438584,0.0016495885352685626,0.02700234923593367
HorizontalSphere_0.000001.obj,3396.0,80.04516568244395,0.01988431755604836,80.06505,80.06505,0.1726710896827943,0.1107683423261513,0.13246010550562062,3.471047501490233,0.012489844195438584,0.0018454911140521682,0.019748640770774414
HorizontalSphere_R20.000001.obj,3952.0,80.04416491924836,0.020885080751639862,80.06505,80.06505,0.14736982693004205,0.09842793668600147,0.10968047761168363,4.647786103419492,0.012489844195438584,0.00047242516047666175,0.011644247053082854
HorizontalSphere_R10.000001.obj,3506.0,80.04867064832054,0.01637935167946125,80.06505,80.06505,0.1185309815047722,0.08388784111909381,0.08374021548134637,1.8380308617615242,0.012489844195438584,0.0014577306304889397,0.01594111989088694
HorizontalSphere_R19.000001.obj,4108.0,80.04275431124114,0.022295688758859455,80.06505,80.06505,0.14269976154072567,0.09894028511069614,0.10283016058527833,3.5291180686276675,0.012489844195438584,0.0004807163844726455,0.011871422454658966
HorizontalSphere_R5.000001.obj,3287.0,80.04795185456963,0.01709814543036714,80.06505,80.06505,0.13449190882656287,0.09450298202260403,0.09569357307911476,1.6429290486316717,0.012489844195438584,0.002290751343042451,0.04003520037967443
HorizontalSphere_L19.000001.obj,3572.0,80.04157045179032,0.02347954820967857,80.06505,80.06505,0.20301937026808978,0.15188613643204169,0.13471253194784424,2.85910209266396,0.012489844195438584,0.001211609733432848,0.028255100135142566
HorizontalSphere_L15.000001.obj,3077.0,80.03773781966981,0.027312180330184788,80.06505,80.06505,0.2019194213634809,0.15263030628883656,0.1321947136837888,1.998962083107358,0.012489844195438584,0.003012095603605063,0.031382105097445996
HorizontalSphere_L10.000001.obj,3459.0,80.04659807201168,0.01845192798832329,80.06505,80.06505,0.2024864848459761,0.13258489596574402,0.15304254933525033,4.223565846291166,0.012489844195438584,0.001205020597967078,0.024351515510269733
